type	dep_arg_span	filler	insert_position	pred	casemk	answers
zero		私が	[77, 4]	[77, 11, 11]	ga	['F', 'A', 'D', 'D', 'D']
dep	[78, 0, 1]			[78, 5, 5]	ga	['F', 'H', 'I', 'I', 'F']
zero		私が	[79, 0]	[79, 0, 0]	ga	['D', 'A', 'A', 'A', 'A']
zero		保子さんが	[80, 1]	[80, 3, 3]	ga	['K', 'H', 'D', 'D', 'F']
zero		この私が	[81, 16]	[81, 40, 40]	ga	['L', 'A', 'A', 'A', 'A']
dep	[82, 10, 11]			[82, 16, 16]	ga	['D', 'A', 'F', 'D', 'F']
zero		私が	[83, 12]	[83, 31, 31]	ga	['A', 'A', 'F', 'E', 'D']
dep	[84, 8, 23]			[84, 24, 24]	o	['K', 'K', 'K', 'K', 'K']
dep	[85, 15, 17]			[85, 18, 18]	ni	['H', 'K', 'K', 'K', 'H']
zero		君が	[86, 3]	[86, 9, 9]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[87, 3]	[87, 11, 11]	ga	['A', 'A', 'D', 'D', 'A']
zero		私が	[88, 4]	[88, 9, 9]	ga	['A', 'A', 'A', 'A', 'A']
zero		私は	[89, 4]	[89, 12, 12]	ga	['A', 'A', 'D', 'D', 'D']
zero		私が	[90, 4]	[90, 11, 11]	ga	['A', 'A', 'A', 'A', 'A']
dep	[91, 4, 5]			[91, 8, 8]	ga	['F', 'D', 'F', 'D', 'F']
zero		私が	[92, 5]	[92, 16, 16]	ga	['A', 'A', 'A', 'A', 'A']
dep	[93, 0, 4]			[93, 47, 47]	ga	['H', 'K', 'D', 'K', 'G']
dep	[94, 59, 65]			[94, 66, 66]	ga	['K', 'K', 'K', 'K', 'K']
dep	[96, 26, 34]			[96, 38, 38]	ga	['K', 'K', 'K', 'K', 'K']
dep	[98, 7, 26]			[98, 32, 32]	ga	['K', 'K', 'K', 'K', 'J']
dep	[99, 0, 8]			[99, 14, 14]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[100, 3]	[100, 7, 7]	ga	['A', 'A', 'A', 'D', 'A']
zero		私が	[101, 3]	[101, 7, 7]	ga	['D', 'I', 'F', 'D', 'D']
zero		関係が	[102, 2]	[102, 4, 4]	ga	['F', 'K', 'K', 'G', 'D']
zero		私が	[103, 4]	[103, 20, 20]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[104, 1]	[104, 5, 5]	ga	['F', 'A', 'D', 'D', 'D']
zero		私が	[105, 3]	[105, 8, 8]	ga	['A', 'A', 'D', 'A', 'A']
zero		私たちの関係が	[107, 1]	[107, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[109, 0]	[109, 3, 3]	ga	['D', 'A', 'A', 'D', 'A']
dep	[110, 2, 3]			[110, 5, 5]	ga	['F', 'A', 'F', 'I', 'F']
dep	[111, 2, 3]			[111, 10, 10]	ga	['F', 'H', 'I', 'F', 'F']
zero		私が	[112, 13]	[112, 38, 38]	ga	['A', 'A', 'A', 'C', 'D']
dep	[114, 0, 8]			[114, 21, 21]	ga	['K', 'K', 'K', 'K', 'K']
zero		僕自身が	[115, 22]	[115, 54, 55]	ga	['A', 'A', 'A', 'A', 'A']
zero		保子に対する君の気持が	[116, 3]	[116, 5, 5]	ga	['A', 'D', 'A', 'A', 'A']
zero		僕自身が	[117, 1]	[117, 14, 14]	ga	['D', 'A', 'A', 'D', 'D']
dep	[118, 1, 4]			[118, 32, 32]	ga	['H', 'K', 'F', 'K', 'F']
zero		僕は	[119, 6]	[119, 23, 23]	ga	['F', 'A', 'A', 'A', 'A']
zero		僕が	[121, 7]	[121, 16, 16]	ga	['A', 'A', 'D', 'A', 'A']
dep	[124, 7, 8]			[124, 9, 9]	ga	['H', 'H', 'K', 'K', 'H']
zero		僕が	[125, 13]	[125, 39, 39]	ga	['D', 'A', 'A', 'D', 'D']
dep	[126, 21, 25]			[126, 26, 26]	ni	['K', 'H', 'H', 'K', 'H']
zero		こんな理屈を	[127, 7]	[127, 15, 15]	o	['A', 'A', 'A', 'A', 'A']
dep	[128, 22, 24]			[128, 25, 25]	o	['K', 'K', 'K', 'K', 'H']
zero		君自身が	[129, 12]	[129, 35, 35]	ga	['D', 'A', 'D', 'A', 'D']
dep	[130, 53, 84]			[130, 85, 85]	ga	['K', 'K', 'K', 'K', 'K']
zero		君が	[134, 7]	[134, 20, 20]	ga	['D', 'A', 'A', 'A', 'A']
zero		君が	[135, 12]	[135, 30, 30]	ga	['A', 'A', 'D', 'A', 'D']
dep	[136, 20, 21]			[136, 22, 23]	ga	['H', 'K', 'K', 'K', 'F']
dep	[137, 27, 31]			[137, 32, 32]	ga	['K', 'K', 'K', 'K', 'J']
dep	[138, 2, 4]			[138, 19, 20]	ga	['F', 'A', 'F', 'K', 'F']
dep	[139, 17, 20]			[139, 21, 21]	ga	['K', 'K', 'K', 'K', 'K']
dep	[140, 4, 5]			[140, 17, 17]	ga	['K', 'K', 'K', 'K', 'K']
dep	[141, 5, 18]			[141, 19, 19]	ga	['K', 'K', 'K', 'K', 'K']
dep	[142, 17, 25]			[142, 38, 38]	ga	['K', 'K', 'K', 'K', 'K']
dep	[143, 39, 45]			[143, 46, 46]	o	['K', 'K', 'K', 'K', 'K']
zero		当事者の四人が	[144, 20]	[144, 53, 54]	ga	['A', 'A', 'A', 'A', 'A']
dep	[146, 39, 40]			[146, 43, 43]	ga	['K', 'K', 'K', 'K', 'H']
zero		大杉が	[147, 0]	[147, 0, 1]	ga	['F', 'D', 'F', 'A', 'D']
dep	[149, 9, 10]			[149, 14, 14]	ga	['H', 'K', 'K', 'K', 'H']
dep	[150, 0, 6]			[150, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
dep	[151, 79, 85]			[151, 86, 87]	o	['K', 'K', 'K', 'K', 'K']
dep	[153, 12, 16]			[153, 23, 23]	ga	['I', 'K', 'K', 'K', 'K']
dep	[154, 8, 9]			[154, 10, 10]	ga	['K', 'K', 'K', 'K', 'H']
dep	[155, 0, 7]			[155, 14, 15]	o	['K', 'K', 'K', 'K', 'J']
dep	[156, 0, 2]			[156, 5, 5]	ga	['F', 'A', 'D', 'F', 'F']
dep	[158, 0, 6]			[158, 15, 15]	ga	['K', 'K', 'K', 'K', 'K']
dep	[159, 0, 1]			[159, 18, 18]	ga	['H', 'K', 'F', 'K', 'H']
dep	[160, 38, 41]			[160, 42, 42]	ga	['K', 'K', 'K', 'G', 'K']
dep	[161, 5, 6]			[161, 7, 7]	ga	['K', 'K', 'K', 'K', 'G']
dep	[162, 20, 27]			[162, 28, 28]	ni	['K', 'K', 'K', 'K', 'K']
dep	[163, 1, 5]			[163, 32, 32]	ga	['H', 'H', 'K', 'F', 'K']
dep	[164, 0, 3]			[164, 22, 22]	ga	['F', 'F', 'D', 'F', 'G']
dep	[165, 30, 33]			[165, 35, 36]	o	['K', 'K', 'K', 'K', 'K']
dep	[166, 46, 52]			[166, 53, 54]	o	['K', 'K', 'K', 'K', 'K']
dep	[167, 2, 4]			[167, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
zero		大杉を支持する研究会の参加者が	[168, 1]	[168, 2, 3]	ga	['A', 'A', 'A', 'A', 'A']
dep	[169, 0, 8]			[169, 11, 11]	ga	['K', 'K', 'K', 'K', 'K']
dep	[170, 2, 6]			[170, 10, 10]	ga	['H', 'K', 'K', 'K', 'G']
zero		大杉が	[171, 15]	[171, 34, 35]	ga	['A', 'A', 'A', 'A', 'A']
dep	[172, 13, 15]			[172, 17, 18]	ga	['K', 'K', 'F', 'K', 'K']
zero		市子が	[173, 12]	[173, 25, 25]	ga	['A', 'A', 'A', 'A', 'A']
zero		大杉も野枝が	[174, 5]	[174, 13, 13]	ga	['A', 'A', 'A', 'A', 'A']
dep	[175, 3, 4]			[175, 5, 5]	ga	['H', 'J', 'K', 'J', 'J']
zero		市子が	[176, 2]	[176, 4, 4]	ga	['F', 'F', 'F', 'D', 'D']
dep	[177, 0, 4]			[177, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
dep	[178, 0, 1]			[178, 23, 23]	ga	['H', 'H', 'F', 'K', 'H']
zero		市子が	[179, 13]	[179, 39, 39]	ga	['D', 'A', 'A', 'K', 'A']
zero		市子が	[180, 27]	[180, 69, 69]	o	['A', 'A', 'A', 'A', 'A']
dep	[182, 37, 40]			[182, 41, 41]	o	['G', 'F', 'K', 'K', 'J']
zero		市子が	[183, 0]	[183, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
zero		疲労困憊して混乱していた心が	[184, 0]	[184, 1, 2]	ga	['A', 'A', 'A', 'A', 'A']
dep	[185, 4, 5]			[185, 8, 8]	ga	['J', 'K', 'G', 'J', 'G']
dep	[186, 3, 4]			[186, 23, 23]	ga	['K', 'K', 'K', 'K', 'H']
zero		大杉が	[187, 2]	[187, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
zero		大杉が	[188, 0]	[188, 2, 2]	ga	['A', 'D', 'D', 'D', 'A']
zero		大杉に	[189, 1]	[189, 2, 2]	ga	['D', 'D', 'D', 'D', 'D']
dep	[190, 0, 6]			[190, 9, 10]	ga	['K', 'K', 'K', 'K', 'K']
dep	[191, 46, 47]			[191, 48, 48]	ga	['H', 'K', 'K', 'K', 'H']
